formula;mass;pubChemId
C7H14O2;130.187;12278
C7H14O2;130.187;31276
C5H10O2;102.133;7915
C8H16O3;160.213;8160
C6H12O3;132.159;8095
C9H10O;134.178;8500
C10H16O;152.237;64152
C10H12O;148.205;637563
C4H6;54.092;11535
C4H8O2;88.106;264
C6H12O2;116.16;7762
C7H14O2;130.187;7770
C4H10O;74.123;6568
C4H8O;72.107;6569
C4H8;56.108;62695
C4H8;56.108;5287573
C4H6O2;86.09;637090
C4H6O;70.091;6570
C10H14;134.222;7705
C4H6;54.092;7846
C4H6;54.092;10419
CO;28.01;281
C4H9Cl;92.566;6563
C4H7N;69.107;8008
C4H5N;67.091;637921
C4H8;56.108;9250
C6H8;80.13;12343
C5H8O;84.118;8452
C10H14;134.222;7463
C10H14;134.222;14095
C10H20;140.27;88039
C10H20;140.27;23916
C6H4Cl2;146.998;10943
C6H4Cl2;146.998;4685
C6H13NO;115.176;12703
C10H14;134.222;7734
C10H14;134.222;8864
C4H8O2;88.106;31275
C4H10O;74.123;3283
C4H12N2;88.154;69222
C4H6O;70.091;70934
C4H6O2;86.09;7302
C5H8O;84.118;8080
C8H11N;121.183;949
C6H10;82.146;10566
C6H14;86.178;6589
C6H12;84.162;11210
C6H12;84.162;11249
C6H12;84.162;11250
C6H10;82.146;13512
C8H16;112.216;11549
C8H16;112.216;11416
C8H16;112.216;11564
C8H16;112.216;11523
C8H14;110.2;137726
C8H14;110.2;519449
C7H10;94.157;138349
C7H10;94.157;138124
C7H14;98.189;15421
C7H14;98.189;17148
C7H14;98.189;17149
C7H12;96.173;87906
C7H12;96.173;522549
C7H12;96.173;86014
C12H26;170.34;520357
C12H26;170.34;139395
C12H26;170.34;545624
C12H26;170.34;519395
C12H26;170.34;28468
C12H26;170.34;519396
C12H26;170.34;519255
C12H24;168.324;522542
C12H24;168.324;5366033
C10H12;132.206;16266
C2H6O;46.069;8254
C10H14;134.222;13621
C10H14;134.222;13627
C6H8O;96.129;19462
C6H8O;96.129;12266
C9H16;124.227;81203
C9H20;128.259;26375
C9H20;128.259;16656
C9H20;128.259;16662
C9H20;128.259;14069
C9H20;128.259;13558
C8H14;110.2;565367
C8H14;110.2;142069
C8H14;110.2;12992
C8H18;114.232;11447
C8H18;114.232;11511
C8H18;114.232;11592
C8H18;114.232;11233
C8H16;112.216;140134
C8H16;112.216;33451
C8H16;112.216;23502
C8H16;112.216;18853
C8H16;112.216;520669
C8H16;112.216;638067
C9H14;122.211;572074
C8H14;110.2;91700517
C11H24;156.313;28457
C10H18;138.254;5365898
C10H18;138.254;5352478
C10H18;138.254;519299
C10H22;142.286;139988
C10H22;142.286;16319
C10H22;142.286;14070
C10H22;142.286;139989
C10H22;142.286;85927
C10H16;136.238;5281553
C10H16;136.238;6434062
C7H12;96.173;137118
C7H12;96.173;66080
C7H12;96.173;66081
C7H16;100.205;11260
C7H16;100.205;7907
C7H16;100.205;11229
C7H14;98.189;12260
C7H14;98.189;638068
C7H14;98.189;12984
C7H12;96.173;136786
C5H8N2;96.133;136502
C5H8N2;96.133;6210
C6H9N;95.145;39539
C6H9N;95.145;12265
C10H12;132.206;16694
C6H12O;100.161;13855
C13H28;184.367;519405
C10H12;132.206;21476
C3H6O2;74.079;12586
C10H10;130.19;66041
C12H26;170.34;8182
C12H24;168.324;8183
C12H24;168.324;522440
C12H24;168.324;5362826
C12H24;168.324;5364450
C12H24;168.324;519765
C12H24;168.324;5364444
C12H24;168.324;138957
C12H24;168.324;5364640
C7H10O2;126.155;102550
C10H12;132.206;33937
C12H10;154.212;13230
C4H10O2;90.122;8076
C6H10;82.146;18850
C6H12O;100.161;7359
C6H12;84.162;12970
C8H14;110.2;73937
C8H14;110.2;137724
C7H12;96.173;137448
C12H26;170.34;519256
C10H14;134.222;15653
C10H14;134.222;13403
C10H14;134.222;13629
C12H26;170.34;537329
C2H4O;44.053;6354
C6H8O;96.129;18554
C8H18;114.232;12096
C8H14;110.2;13856
C9H12;120.195;11903
C9H12;120.195;12100
C9H12;120.195;12160
C9H18;126.243;19503
C8H16;112.216;136729
C8H14;110.2;88243
C8H14;110.2;557171
C7H10O;110.156;74346
C11H24;156.313;537768
C8H18O;130.231;7821
C8H16;112.216;520670
C11H24;156.313;92239
C10H22;142.286;79985
C7H16;100.205;12048
C7H9N;107.156;10823
C6H9N;95.145;137075
C6H9N;95.145;258383
C6H9N;95.145;185226
C10H12;132.206;24143
C6H14O;102.177;12512
C7H8O2;124.139;76662
C7H12;96.173;5364394
C7H16;100.205;8900
C7H14O2;130.187;8094
C7H14O;114.188;8051
C7H14O;114.188;7802
